"filename", "language", "JSON", "YAML", "JSON with Comments", "Markdown", "TypeScript", "Python", "pip requirements", "JavaScript", "TypeScript JSX", "CSS", "Database", "SCSS", "comment", "blank", "total"
"f:\study\blog\social\apps\social\package.json", "JSON", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"f:\study\blog\social\apps\social\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\blog\social\apps\social\provider\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 2, 43
"f:\study\blog\social\apps\social\provider\query-provide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 11, 7, 55
"f:\study\blog\social\apps\social\public\MBTItest.json", "JSON", 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 656
"f:\study\blog\social\apps\social\store\chat.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 11, 11, 100
"f:\study\blog\social\apps\social\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"f:\study\blog\social\biome.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"f:\study\blog\social\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"f:\study\blog\social\pnpm-lock.yaml", "YAML", 0, 6905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727, 8632
"f:\study\blog\social\pnpm-workspace.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\study\blog\social\server\socket\biome.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"f:\study\blog\social\server\socket\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\study\blog\social\server\socket\src\index.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 15, 14, 99
